,profile_name,rating,rating_date,title,review_text
71,manoj kotta,2.0 out of 5 stars,Reviewed in India on 21 August 2024,"2.0 out of 5 stars
Poor call quality and audio output in calls
","
There is lag when call is connected, it takes 3 to 4 seconds for opposite person to hear your voice and also the audio ear piece is also not great in calls.Failed to solve the main purpose of the phone .
"
72,ishrat,2.0 out of 5 stars,Reviewed in India on 10 August 2024,"2.0 out of 5 stars
Bad quality mobile
","
Cons: Network issue, calls are not getting connected, bad camara quality and also the camara is protruded outside.Pros: light weight, processor is okay, overall build quality is not that impressive,At last I got a little disappointed with this brand because of the network and call issues as the main function of the mobile is this only
"
73,Nisha Gupta,5.0 out of 5 stars,Reviewed in India on 1 July 2024,"5.0 out of 5 stars
I love it
","
As my main preference is perfomance and Display because I love to play games this run so smooth and 1.5k display gives such a bright colours and it charges so fast ⏩ in this price point this phone is worth camera quality is ok ok type  but the built quality 💯💯
"
74,Madhu P.,3.0 out of 5 stars,Reviewed in India on 11 May 2024,"3.0 out of 5 stars
madhuprashant44@gmail.com
","
Product is Good. But it is suggested to buy poco x6 pro... During changing heating issue can be seen... Battery drain sometimes... Like after playing BGMI... So be sure
"
75,Amazon Customer,3.0 out of 5 stars,Reviewed in India on 12 May 2024,"3.0 out of 5 stars
Krishnamurthy
","
Phone is getting heated up while charging and speaking.
"
76,Venkat,5.0 out of 5 stars,Reviewed in India on 8 July 2024,"5.0 out of 5 stars
Best gaming phone at this price
","
Camera quality 👍
"
77,Komal Laxman Patil,5.0 out of 5 stars,Reviewed in India on 25 June 2024,"5.0 out of 5 stars
Absolutely amazing phone
","
Great battery with good charging speed. Performance is upto my expectations. Thanks Amazon for a timely delivery.
"
78,Sowmiya,2.0 out of 5 stars,Reviewed in India on 11 August 2024,"2.0 out of 5 stars
Good
","
Product received in good condition but delivery boy demanded for exchanged mobiles charger which is not asked by amazon
"
79,Parag Shinde,5.0 out of 5 stars,Reviewed in India on 6 July 2024,"5.0 out of 5 stars
Best Look and Feel, value for money.
","
Good looks, good feel, not much heating, battery is great 10-12 hr standbye. Display is fantastic, charging time is just about 50 min. Smooth performance. Love it
"
80,Amazon Customer,4.0 out of 5 stars,Reviewed in India on 16 March 2024,"4.0 out of 5 stars
Over heated.
","
The phone is nice but it is being over heated on use.
"
81,Prashant Bisht,5.0 out of 5 stars,Reviewed in India on 27 June 2024,"5.0 out of 5 stars
Good product
","
This is the best smartphone in this price range.
"
82,Placeholder,5.0 out of 5 stars,Reviewed in India on 22 June 2024,"5.0 out of 5 stars
Worth Every Penny, Comparing to any phone on this budget, it performs in best.
","
Worth Every Penny, Comparing to any phone on this budget, it performs in best.
"
83,sunil kumar,5.0 out of 5 stars,Reviewed in India on 6 June 2024,"5.0 out of 5 stars
Poco x6
","
Value of money. Good phone in this price segment. Battery life is so good. 7 s gen 2 soc is also is good.
"
84,G DILIP KUMAR,5.0 out of 5 stars,Reviewed in India on 25 June 2024,"5.0 out of 5 stars
Superb mobile
","
Nice one
"
85,Amazon Customer,5.0 out of 5 stars,Reviewed in India on 21 June 2024,"5.0 out of 5 stars
S
","
Zakasssss
"
86,Milind Deshmukh,5.0 out of 5 stars,Reviewed in India on 24 June 2024,"5.0 out of 5 stars
Good product
","
Good smartphone,
"
87,Omshiv Vishwakarma,5.0 out of 5 stars,Reviewed in India on 22 June 2024,"5.0 out of 5 stars
Achachha
","
Gameing ke liye
"
88,Amazon Customer,5.0 out of 5 stars,Reviewed in India on 27 April 2024,"5.0 out of 5 stars
Rocking Perfrmance..
","
Pros:1. Stunning Display2. Super fast processor.3. Multitasking without lagging4. Decent camera.5. Light weight design6 User friendly UI..butter smooth.7. No heating issues..8.Battery last for a day on moderate to heavy usage..9.More Storage and RAM10. Excellent Sound Quality..Cons:Night mode camera and camera sensors Protruding outside...
"
89,Very Good product,4.0 out of 5 stars,Reviewed in India on 29 February 2024,"4.0 out of 5 stars
Good
","
Nice display
"
90,Rajesh,2.0 out of 5 stars,Reviewed in India on 28 July 2024,"2.0 out of 5 stars
Poco x6
","
Battery problem
"
91,Placeholder,3.0 out of 5 stars,Reviewed in India on 24 March 2024,"3.0 out of 5 stars
Device not supported for google location history on
","
This device is not surppoted to add for google location history.. Please see attached screenshot
"
92,Den,5.0 out of 5 stars,Reviewed in India on 23 May 2024,"5.0 out of 5 stars
All just fine. Tested for 3 months.
","
I really like it. Works great. Everything just fine. But do not expect good camera... Upd: 6 months, still works just fine.
"
93,Shraddha,3.0 out of 5 stars,Reviewed in India on 26 February 2024,"3.0 out of 5 stars
Poor battery
","
Battery drains before you know it :( . There are better phones at this price
"
94,I’m not like it as dial and touch is not that smooth,2.0 out of 5 stars,Reviewed in India on 12 June 2024,"2.0 out of 5 stars
Phon is not good
","
Don’t buy it not even smoothly running somewhere 5% hangCharging is fast only Other otherwise phon is not good
"
95,DAITARI,3.0 out of 5 stars,Reviewed in India on 11 March 2024,"3.0 out of 5 stars
Battery draining very fast.
","
Heating problemCamera should be improvise.
"
96,Komal Verma,2.0 out of 5 stars,Reviewed in India on 1 July 2024,"2.0 out of 5 stars
Good camera
","
But battery issues
"
97,"Genuine product received, screen protector punch hole is misaligned on front camera.",2.0 out of 5 stars,Reviewed in India on 16 June 2024,"2.0 out of 5 stars
POCO X6 5G
","
Genuine product received, screen protector punch hole is misaligned on front camera.
"
98,Nishant Dutt,5.0 out of 5 stars,Reviewed in India on 4 May 2024,"5.0 out of 5 stars
Great gaming experience.
","
I bought it for my son and he s really happy with the gaming and overall performance
"
99,Every time  is very  good,2.0 out of 5 stars,Reviewed in India on 5 March 2024,"2.0 out of 5 stars
Paise ki barbadi
","
Ram 8 gb par kam 2gb se bhi kharab refresh ra120but 60 se bakwas performance wise Sahi nahi hai box me na to  manual book thi aur na hi sim card ejector  box bhi  proper packing me tha jab k pocco ka kahna h k yeh box me aata h Amazon c care coll karne p  3din me deliver karane ko bola par kuch nahi hua
"
